name,item_id,image_url,quote,effect,quality,recharge
Blank Card,286,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/6/6c/Collectible_Blank_Card_icon.png/revision/latest?cb=20210821082304,Card mimic,Copies the effect of thecardorrunecurrently held by Isaac.Copies the effect of thecardcurrently held by Isaac. The charge time is based on the power of the card.,2,
Blood Rights,186,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/b/b8/Collectible_Blood_Rights_icon.png/revision/latest?cb=20210821040536,Mass enemy damage at a cost,Takes a full heart ofhealthand deals 40 damage to all enemies in theroom.Repeated uses in the same room only take half a heart.,0,
Breath of Life,326,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/d/dd/Collectible_Breath_of_Life_icon.png/revision/latest?cb=20221111140353,Invincibility at a cost,"Grants a brief moment of invincibility when the charge bar hits zero. Isaac begins taking damage if the item is held any longer.Isaac creates beams of light when touching enemies while invulnerable, and creates a powerful 4-way beam if blocking damage exactly as the invincibility starts.",1,
Butter Bean,294,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/9/9f/Collectible_Butter_Bean_icon.png/revision/latest?cb=20210821050839,Reusable knock-back,Isaac farts andknocks backnearby enemiesand projectiles.Enemies pushed into walls orobstaclestake 12 damage.,0,
Forget Me Now,127,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/3/3a/Collectible_Forget_Me_Now_icon.png/revision/latest?cb=20210821040739,I don't remember...,"Restarts the currentfloorwith anew layout. Isaac loses Forget Me Now, but keeps otheritemsandconsumablespicked up on the original floor.",3,
Guppy's Paw,133,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/6/6e/Collectible_Guppy%27s_Paw_icon.png/revision/latest?cb=20210821042615,Soul converter,Converts one RedHeart Containerinto threeSoul Hearts.,3,
How to Jump,282,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/d/d1/Collectible_How_to_Jump_icon.png/revision/latest?cb=20210821053232,It's time you learned how,"Isaac jumps in the direction he is currently moving, allowing travel overobstaclesandenemies.",1,
IV Bag,135,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/4/4c/Collectible_IV_Bag_icon.png/revision/latest?cb=20210821045730,Portable blood bank,"Damages Isaac and spawns a random amount ofcoins, similar to aBlood Donation Machine.",2,
Kamikaze!,40,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/4/4e/Collectible_Kamikaze%21_icon.png/revision/latest?cb=20210821044334,Become the bomb!,"Creates an explosion around Isaac, damaging him and nearby enemies as well as destroyingobstacles.",0,
Magic Fingers,295,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/7/79/Collectible_Magic_Fingers_icon.png/revision/latest?cb=20211204001055,Pay to win,Uses 1Pennyto dealdamageto all enemies in theroom.,0,
