name,item_id,image_url,quote,quality,recharge,item_pool
Blank Card,286,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/6/6c/Collectible_Blank_Card_icon.png/revision/latest?cb=20210821082304,Card mimic,2,,"Shop, Secret Room"
Blood Rights,186,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/b/b8/Collectible_Blood_Rights_icon.png/revision/latest?cb=20210821040536,Mass enemy damage at a cost,0,,"Item Room, Devil Room"
Breath of Life,326,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/d/dd/Collectible_Breath_of_Life_icon.png/revision/latest?cb=20221111140353,Invincibility at a cost,1,,Angel Room
Butter Bean,294,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/9/9f/Collectible_Butter_Bean_icon.png/revision/latest?cb=20210821050839,Reusable knock-back,0,,"Item Room, Beggar"
Forget Me Now,127,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/3/3a/Collectible_Forget_Me_Now_icon.png/revision/latest?cb=20210821040739,I don't remember...,3,,"Item Room, Secret Room, Devil Room, Demon Beggar"
Guppy's Paw,133,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/6/6e/Collectible_Guppy%27s_Paw_icon.png/revision/latest?cb=20210821042615,Soul converter,3,,"Devil Room, Curse Room, Red Chest"
How to Jump,282,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/d/d1/Collectible_How_to_Jump_icon.png/revision/latest?cb=20210821053232,It's time you learned how,1,,"Item Room, Library"
IV Bag,135,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/4/4c/Collectible_IV_Bag_icon.png/revision/latest?cb=20210821045730,Portable blood bank,2,,None (Blood donation machine only)
Kamikaze!,40,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/4/4e/Collectible_Kamikaze%21_icon.png/revision/latest?cb=20210821044334,Become the bomb!,0,,Item Room
Magic Fingers,295,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/7/79/Collectible_Magic_Fingers_icon.png/revision/latest?cb=20211204001055,Pay to win,0,,"Item Room, Shop"
Notched Axe,147,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/3/3b/Collectible_Notched_Axe_icon.png/revision/latest?cb=20210821042334,Rocks don't stand a chance,1,,"Shop, Crane Game"
Pandora's Box,297,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/8/8f/Collectible_Pandora%27s_Box_icon.png/revision/latest?cb=20210821081302,? ?,2,,"Shop, Red Chest"
Portable Slot,177,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/6/65/Collectible_Portable_Slot_icon.png/revision/latest?cb=20210821055021,Gamble 24/7,0,,"Shop, Beggar"
Razor Blade,126,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/7/70/Collectible_Razor_Blade_icon.png/revision/latest?cb=20210821040436,Feel my pain,0,,"Item Room, Curse Room, Demon Beggar"
Red Candle,289,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/d/dc/Collectible_Red_Candle_icon.png/revision/latest?cb=20210821080857,Flame on,1,,Shop
Remote Detonator,137,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/a/a6/Collectible_Remote_Detonator_icon.png/revision/latest?cb=20210821041549,Remote bomb detonation,0,,"Item Room, Shop, Bomb Beggar"
The Boomerang,338,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/6/68/Collectible_The_Boomerang_icon.png/revision/latest?cb=20210821053333,It will never leave you,1,,Shop
The Candle,164,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/c/ca/Collectible_The_Candle_icon.png/revision/latest?cb=20210821080014,Reusable flames,2,,Shop
The Jar,290,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/a/a2/Collectible_The_Jar_icon.png/revision/latest?cb=20210821050629,Save your life,0,,Shop
Diplopia,347,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/2/2f/Collectible_Diplopia_icon.png/revision/latest?cb=20210821145954,Double item vision,3,,Shop
Glass Cannon,352,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/3/3e/Collectible_Glass_Cannon_icon.png/revision/latest?cb=20210821161627,Be gentle...,1,,"Item Room, Greed Mode Item Room"
Glowing Hourglass,422,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/5/51/Collectible_Glowing_Hourglass_icon.png/revision/latest?cb=20210821150801,Turn back time,3,,"Item Room, Shop, Greed Mode Item Room"
Jar of Flies,434,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/3/31/Collectible_Jar_of_Flies_icon.png/revision/latest?cb=20210821162200,Bug catcher,2,,"Shop, Greed Mode Item Room, Greed Mode Shop"
Placebo,348,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/5/5e/Collectible_Placebo_icon.png/revision/latest?cb=20210821150023,Pill mimic,1,,"Shop, Greed Mode Shop"
Tear Detonator,383,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/5/57/Collectible_Tear_Detonator_icon.png/revision/latest?cb=20210821162334,Remote tear detonation!,1,,"Shop, Greed Mode Item Room"
Ventricle Razor,396,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/9/97/Collectible_Ventricle_Razor_icon.png/revision/latest?cb=20210821162403,Short cutter,1,,Shop
Brown Nugget,504,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/3/36/Collectible_Brown_Nugget_icon.png/revision/latest?cb=20210822014554,Friendly fly,0,,Item Room
D infinity,489,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/f/f2/Collectible_D_infinity_icon.png/revision/latest?cb=20210822014946,Reroll forever,4,,Secret Room
Mama Mega!,483,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/9/90/Collectible_Mama_Mega%21_icon.png/revision/latest?cb=20210822020614,BOOOOOOOOOM!,3,,"Shop, Bomb Beggar"
Mystery Gift,515,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/3/36/Collectible_Mystery_Gift_icon.png/revision/latest?cb=20210822045919,Wrapped up nice for you!,3,,Shop
Plan C,475,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/a/a8/Collectible_Plan_C_icon.png/revision/latest?cb=20210822021015,My last resort,0,,"Shop, Devil Room, Curse Room, Red Chest, Demon Beggar"
Potato Peeler,487,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/6/67/Collectible_Potato_Peeler_icon.png/revision/latest?cb=20210822021144,A pound of flesh,2,,"Shop, Demon Beggar"
Sacrificial Altar,536,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/a/a5/Collectible_Sacrificial_Altar_icon.png/revision/latest?cb=20210822090909,He demands a sacrifice,1,,"Devil Room, Curse Room"
Sharp Straw,507,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/f/fe/Collectible_Sharp_Straw_icon.png/revision/latest?cb=20210822021352,More blood!,2,,Item Room
